Sentence,Label
"92도에 물이 준비가 되어 있는지 확인을 꼭 하시고요. 서울의 영점과 타이머 영점이 꼭 맞춰져 있는지 확인을 해주세요.
",1
"그리고 다시 한번 말씀드리지만 침지식으로 커피를 추출할 거기 때문에 하리오 스위치 드리퍼의 스위치가 올라가져 있는지 꼭 확인을 해주세요.
",1
"92도의 물을 210g으로 원포어로 진행하겠습니다.
",1
"파이머를 누르시고 저희는 물줄기 속도를 너무 얇게 가져가시거나 너무 굵게 가져가시는 것을 추천드리지 않고 있어요.
",0
"친지식으로 커피를 우리다 보니까 추출에 필요한 시간을 충분히 확보를 해주셔야 되거든요.
",0
"그래서 20초를 넘지 않으시는 것을 권장 드리고 있습니다. 1분 40초가 되면 이 나무 막대를 가지고 스처를 줄 건데요.
",1
"이 스터를 주실 때.
",0
"너무 빨리 휘저으시거나, 아니면 드리퍼 외벽면을 긁게 되시면 불쾌함, 텁텁함.
",0
"그리고 쓴맛이 같이 추출될 수 있으니 적절한 속도감을 주셔서 스터를 해주셔야 됩니다.
",0
"저희 매장에서는 바리스타들이 1초에 한 번 정도 스터를 주는 것으로 기준을 삼고 있어요, 이제 1분 40초가 되었으니 스터를 주겠습니다.
",1
"스터를 주실 때는 스위치를 내리면서 주시는 것을 꼭 잊지 말아주세요.
",1
"추출은 보통 2분 30초에서 3분 내로 완료가 됩니다.
",1
"만약에 3분을 너무 훌쩍 넘어서 추출이 완료가 된다면 분쇄들을 조금 굵게 가져가 보시는 것을 추천드려요.
",0
"물이 다 빠지면 드리퍼를 서버에서 제거하고 한번 저어주세요. 그리고 미리 예열한 잔에 담으시면 출은 완료됩니다.
",0
"오늘 추출한 커피를 마셔보겠습니다.
",0
"오늘 추출한 과테말라 엘스코로 파카마라 워시드 커피는 유귀농, 설탕 같은 단맛이 아주 잘 느껴지고요.
",0
"구운 국물에 씁쓸하고 고소한 호미가 아주 잘 이어지고 있네요. 영상 시청해 주셔서 감사합니다.
",0
"안녕하세요, 커피몽타주에서 로스팅하고 있는 이연석입니다.
",0
"이번 영상에서는 커피몽타주 매장과 동일한 커피몽타주의 브루잉 레시피를 소개합니다.
",0
"커피몽타주에서는 하리오 V60 플라스틱 소재의 드리퍼를 사용하고 있습니다.
",1
"플라스틱 소재의 드리퍼는 열 전도율이 낮아서 드리퍼를 데우는 등의 이런 번거로움이 좀 적고 사인용 드리퍼를 사용하고 있는데.
",0
"사인용 드리퍼의 큰 크기는 물 주입을 한 번에 많이 할 때, 그런 레시피를 사용할 때 용의점이 있습니다.
",0
"그리고 드립 필터는 저희는 케멕스 필터를 사용하고 있습니다.
",1
"케멕스 필터는 다른 필터에 비해 조금 두꺼운 편인데, 이 두꺼운 필터는 물 주입을 했을 때.
",0
"커피와 추출 수에 접촉시간을 늘려서 커피 추출을 좀 더 용이하게 만들어줍니다.
",0
"유속이 빠른 하리오 V50 드리퍼와 좋은 조합이라고 생각해서 선택하게 되었습니다.
",0
"커피는 한 잔의 16g을 사용하고 있습니다.
",1
"16g의 원두 용량은 1인용에 적합한 용량이라고 생각하여서 16g을 사용하고 있습니다.
",0
"커피몽타주의 브루잉 레시피는 심플하면서도 누구나 따라 하기 쉽고 일관성 있는 추출 결과를 목표로 설계하였습니다.
",0
"로스팅 포인트에 따라서 분쇄도나 온도를 조절하여 총 추출 시간 2분에서 2분 30초를 목표로 분쇄도 조절을 통해서 추출 시간을 조절하시면 되겠습니다.
",0
"그러면 추출 시작하겠습니다. 소개할 커피는 여름의 맛 블렌딩입니다.
",0
"여름의 맛 블렌딩은 커피몽타주의 시즌 블렌딩인데, 이번에 언스페셜티와 함께 새롭게 구성하여 소개하게 되었습니다.
",0
"에티오피아와 콜롬비아를 블렌딩하여 따뜻한 나라에서 즐기는 열대 과일의 느낌을 가득 담았습니다.
",0
"로스팅 포인트는 미디움 라이트 포인트입니다. 네, 추출을 시작하겠습니다.
",0
"앞서 설명드린 대로 케믹스 필터를 사용하게 되는데, 종이 향이 날 수 있으니 린싱을 충분히 해주시고 사용하시면 됩니다.
",1
"미디움 라이팅 로스팅에서는 분쇄도 900 마이크론을 추천드립니다.
",0
"16g의 커피를 사용하였고, 뜸은 40g의 물로 30초 동안 주겠습니다. 진행하겠습니다.
",1
"30초 뜸 들인 후 1차 물 주입을 120g 진행하겠습니다.
",1
"1차 물주입 후 물이 거의 빠진 뒤에 3, 2차 물주입을 진행하게 되는데, 2차 물주입은 90g 진행하겠습니다.
",1
"앞서 말씀드린 대로 총 추출 시간은 2분에서 2분 30초를 목표로 합니다.
",1
"미디움 라이팅 로스팅의 핫 브루잉 같은 경우에는 16g의 커피를 사용하여 총 추출 수 250g을 사용합니다.
",0
"추출 비율이 약 1대 15입니다. 그리고 물 온도는 93도의 물 온도를 사용하였습니다.
",0
"지금 추출하고 있는 여름의 맛 커피를 다크 로스팅으로도 소개하고 있습니다.
",0
"다크로스팅 여름의 맛의 경우에는 물 온도를 88 도로 낮춰주시고, 총 추출 수를 200g 넣어줍니다.
",0
"1대 12.5 의 추출 비율입니다.
",0
"뜸은 동일하게 40g으로 30조 동안 진행한 후에 1차 물주입의 90g, 2차 물주입의 70g을 진행합니다.
",0
"총 200g의 추출수를 부어주시고, 추출이 끝난 후에 50g 정도를 취향에 따라서 바이패스하여 즐기시면 되겠습니다.
",0
"무더운 여름에 열대가일 느낌에 상큼한 여름에 마 커피를 맛있게 즐겨주시면 감사하겠습니다.
",0
"안녕하세요, 더버 멜리, 바스타 김환입니다. 이번에 소개해드릴 영상은 아이스 레시피구요.
",0
"이번에 사용할 원두는 에티오피아 봄배 네추럴입니다.
",0
"도직량은 저희가 17g에서 18g 잡고 있고, 추출 비율은 1대 11 정도에 비율로.
",1
"한 레시피와 동일하게 코만 단테 그다음에 EK 사 3 전부 다 동일하게 저희가 추출할 수 있도록 고정된 값으로 분쇄하겠습니다.
",0
"서 버이는 얼음 두세 알 중량으로 따주면 한 60g 정도로 저희가 타기팅을 하고 있는데, 중량이 살짝 오바돼도 괜찮으니까 넣어주시면 됩니다.
",0
"따뜻한 레시피와 똑같이 튼들리기는 40g의 30초 동일하게 진행하겠습니다.
",1
"30조 가 되면 130g까지 포화해 주겠습니다. 1분 10초가 되면 200g까지 포해 주겠습니다.
",1
"아이스 레시티 같은 경우에는 저희가 2분 30초 전으로 타게팅에서 추출하고 있으며.
",1
"서버에 얼음이 다 녹을 때까지 스월링을 한번 해주신 뒤에 아이스컵에 얼음 채워주신 후에 드셔주시면 될 것 같습니다.
",0
"그럼 마셔보겠습니다.
",0
"신선한 파파헤아와 그다음에 플로하고 주시한 계열들, 좀 밝은 계열의 창미들이나 그런 이미지들을 떠올릴 수 있는 그런 에티오피아 봄매입니다.
",0
"감사합니다.
",0
"안녕하세요, 더반밸린 바리사 김야입니다.
",0
"이번에 소개해 드릴 레시피는 더반밸린 전체 원도에 사용 가능한 레시피이며, 지금 내려드릴 건 핫 레시피입니다.
",0
"도 직량은 16g이며, 출 레시피는 1대 1 15 비율로 잡고 있으며, 추출 시간은 3분 내외로 저희가 잡고 있습니다.
",1
"저희 더번 베를린 전 매장에서는 하리오 보이 60 을 전반적으로 사용 중이며, 브리스타이 온도는 92도에서 93 도로 기출할 예정이며.
",1
"지금 소개해 드릴 원두는 브라질, 다테아로 카페인이라는 원두입니다.
",0
"품종은 아라모사라는 품종인데, 카페인의 함량이 더 적다고 보시면 됩니다.
",0
"원두는 총 17g을 사용할 거고, 물의 양은 245g, E K 43 기준 10.2코만 단테 기준으로는 25 클릭으로 분쇄 예정입니다.
",1
"추출해보겠습니다. 우선 1차 푸어는 40g 30초 정도의 뜸 들리는 시간을 가져보도록 하겠습니다.
",1
"30초가 되면 160g 포화하겠습니다. 포 일본 15초가 되면 245g까지 포호해 주겠습니다.
",1
"보라색 계열의 체일이 부드럽고 로우 카페인인데, 단맛을 좀 느끼게 해줄 수 있는 그런 커피인 것 같습니다. 감사합니다.
",0
"안녕하세요, 펠트 커피 이재연입니다.
",0
"이번 소개해 드릴 레시피는 보다 묵직한 바디가의 커피를 선호하시는 분들을 위한 레시피로 클래버 3 4 인용 드리퍼를 사용한 침출식 레시피입니다.
",1
"이 클래버 같은 경우에는 침출식 드리퍼로 보다 간편하게 묵직하고 깔끔한 커피를 만들 수 있습니다.
",0
"필터는 가볍게 접어주시고 따뜻한 물로 충분히 예열해 줄 수 있도록 합니다.
",0
"이번 레시피는 커피 18.5g을 사용하여 1대 16 비율로 추출합니다.
",1
"분쇄도는 구형 2 K 43 기준으로 9.5 포인트 1100, 마이크론에서 플러스 마이너스 50 정도로 생각해 주시면 되겠습니다.
",1
"커피를 평평하게 만들어 주실 때에는 너무 강한 충격을 주시는 것보다 천천히 두 번 정도 흔들어주시는 게 좋습니다.
",0
"추출 온도는 95 도로 예열이 완료되었다면은 추출 시작하도록 하겠습니다.
",1
"뜸은 60g 30초 진행하도록 하겠습니다. 물을 넣어주신 후에는 좌우로 10번 충분히 저어줄 수 있도록 합니다.
",1
"이후 30초가 되었다면 물을 300 미리까지 넣어주도록 하겠습니다.
",1
"이때 물은 커피가 충분히 적셔질 수 있도록 강하게 부어주도록 합니다.
",1
"이번 추출하는 코스타리카, 에르바지오, 살로케, 세미, 워시드 같은 경우는 안토니오 바란테스 가족이 운영하는 농장입니다.
",0
"펠트 커피에서는 2015년 방문을 처음으로 지금까지 다이렉트 트레이드를 이어오고 있는 만큼 보다 훌륭한 커피 품질을 확인하실 수 있습니다.
",0
"추출은 2분 30초가 되었을 때 준비하신 서버에 옮겨주실 수 있도록 합니다.
",1
"서버는 예열을 해서 준비해 주실 수 있도록 합니다. 서버에 옮겨주시기 전 네 번 좌우로 강하게 저어줍니다.
",0
"물이 충분히 빠질 때까지 기다려주며 총 추출 시간은 4분이 되었을 때 제거해 주시면 되겠습니다.
",1
"내 총 추출한 커피는 220g에서 240g 정도로 생각해 주시면 되겠습니다.
",1
"이번 추출한 쌀로케의 세미 워시드 같은 경우에는 블루베리와 라임 같은 플레이버, 그리고 허브와 같은 에프터 테이스트를 느끼실 수 있습니다.
",0
"안녕하세요, 반갑습니다. 폰트 커피 양태은입니다.
",0
"이번에 제가 알려드릴 레시피는 아이스 브루잉 커피 레시피입니다.
",0
"저희 브루잉 레시피의 중요한 점은 상대적으로 굵은 물줄기를 사용하시는 것과 추출 시간에 약 50% 이내로 푸어를 끝내는 것입니다.
",1
"조금 더 쉽게 말씀드리면 저희 커피는 대개 추출이 3분 전으로 종료되는데, 이때 푸어를 마지막으로 1분 30초에서 40초 정도에 끝내주시면 됩니다.
",1
"그럼 커피를 내리면서 자세히 설명해 드리겠습니다.
",0
"제가 오늘 사용할 원두는 콜롬비아 톨리마 지역에 위치한 라팔마 농장의 게이샵 워시드입니다.
",0
"원두는 20g을 담겠습니다. 분쇄도는 EK 43 기준 9 를 사용하고, 코만단테는 24클릭을 사용합니다.
",1
"저희는 820 정도의 마이크론 분쇄도를 사용하고 있습니다.
",0
"드리퍼는 칼리타 웨이브 드리퍼를 사용하고, 흰색 웨이브 필터를 함께 사용합니다.
",1
"드리포트는 펠로우 900 미리, 추출 수 온도는 94도입니다. 그럼 필터 린싱을 먼저 하겠습니다.
",1
"필터를 린싱하실 때에는 웨이브 필터 옆면이 무너지지 않도록 정중앙에 물을 먼저 부우신 다음 옆면을 린싱해 주시면 됩니다.
",0
"린싱이 끝난 후에는 드리퍼를 꼭 뒤집어서 물을 다 빼주셔야 합니다.
",0
"저희는 아이스커피를 추출할 때 얼음을 먼저 넣고 추출하고 있는데요. 저희는 얼음을 6개 정도 담겠습니다.
",1
"그런데 집에서 드시는 얼음이 녹는 정도가 다를 수 있으니 서버에 4분의 1 정도 채우시고.
",0
"추출을 하신 다음 취향에 따라서 추출 후에 얼음에 희석해 드시면 됩니다. 그럼 원두 분쇄 후 추출을 시작하겠습니다.
",0
"첫 번째는 뜸들이기입니다. 10초 이내로 33g까지 푸어해 주시면 됩니다.
",1
"가운데에서 시작해서 바깥쪽으로 커피를 충분히 적셔주시면 됩니다.
",1
"33초가 되면 1차를 130g까지 푸어하겠습니다.
",1
"마찬가지로 가운데에서 시작해서 바깥쪽으로 나갔다가 다시 가운데로 돌아오시면 됩니다.
",1
"드리퍼의 물이 70% 정도 빠졌을 때쯤 2차를 200g까지 푸어해 주시면 됩니다.
",1
"1차와 다르게 2차와 3차는 조금 더 굵고 굵게 푸어해 주세요. 그래야 충분히 교반이 잘 될 수 있습니다.
",1
"마지막으로 3차를 280g까지 푸어하겠습니다.
",1
"저희 커피는 섬세하게 푸어해 주셨을 때보다 시원시원하게 푸어해 주셨을 때 저희 커피가 나타내고자 하는 특징을 조금 더 잘 느끼실 수 있습니다.
",0
"좋은 품질의 커피를 편안하고 조금 더 균형감 있게 드실 수 있도록 레스피를 만들었습니다.
",0
"그리고 제가 푸어를 끝내는 시간에 대해 언급해 드린 이유는
",0
"푸어를 끝내는 시간이 커피의 맛과 추출에 영향을 미치기 때문입니다.
",0
"푸어를 조금 일찍 끝내신 경우에는 커피가 다소 밋밋할 수 있고, 푸어를 상대적으로 늦게 끝내신 경우에는 커피에서 불필요한 맛까지 추출될 수 있습니다.
",0
"추출이 완료되어서 컵의 얼음을 담고 시음해 보겠습니다. 저희는 아이스 잔에 얼음을 5개 정도 담겠습니다.
",0
"아이스 브루잉.
",0
"커피의 경우 추출이 완료된 다음 추출물이 잘 섞일 수 있도록 바스푼을 한 번 정도 저어주신 다음에 부어주시면 되겠습니다.
",0
"그럼 커피를 시음해 보겠습니다.
",0
"이 커피는 레몬과 청사과 같은 상큼한 산미로 시작해서 뒤에는 캔디 같은 달콤함이 느껴집니다.
",0
"끝으로 진저애일과 같은 향신료의 풍미가 시원하게 느껴져서 커피가 더욱 다채롭게 다가오는 것 같습니다.
",0
"여름에 어울릴 만한 아이스로 드시기 좋은 밝고 청량한 커피입니다.
",0
"제가 알려드린 레시피로 집에서 꼭 내려드셔 보시고 여러분만의 레시피도 만들어 보시길 바랍니다. 감사합니다.
",0
"안녕하십니까? 여러분. 센터 커피 바이 스타 박상호입니다.
",0
"이번 12월 저희 센터 커피, 월픽 커피로 함께 여러분들이 사랑하시는 연인 친구, 그리고 가족분들과 함께 집에서 굉장히 맛있게.
",0
"또 저희 커피를 내려들 수 있는 레시피를 공유해 드리려고 합니다. 이번 영상에는 저희가 싱글 오리즌 라인업 중에 V.
",0
"식스트를 사용해서 어떻게 저희 핸터커피 원두들을 최대한 맛과 향을 끌어낼 수 있는지 에시피를 공유해 드리겠습니다.
",0
"일단 저희 같은 경우에는 매장에서 하리오 V, 식, 티 세라믹을 사용하고 있고, 필터 같은 경우에는 갈색 필터를 사용하고 있고요.
",1
"또 따로 필요한 거는 이 서버, 아니면 머그저울은 꼭 필수고, 그리고 물입니다.
",0
"그래서 먼저 저희가 브르잉을 할 때는 꼭 린칭을 해주시고요.
",0
"특히 이 갈색 필터는 린칭을 꼭 해주셔야 가장 장점을 드러날 수 있기 때문에 린칭은 뜨거운 물로 최대한 많이 해주셔야 됩니다.
",0
"그런 다음에 저희가 따뜻한 레시피를 먼저 내릴 건데, 원두 16g이 필요합니다.
",1
"제가 원두 16g을 분쇄를 할 건데, 지금 저희 레시피 같은 경우에는 디팅 랩스윗 기준으로 핫할 때는 6.5를 쓰고 있습니다.
",1
"이게 언스테셜틱 커뮤니티에 가시면 거기서 한 1060 마이크론 정도로 나와요. 그래서 그 정도에 참고하주시면 되고.
",0
"한 코 만난 테로는 마크 4 기준에 한 25 클릭 정도로 진행해 주시면 됩니다. 그라인더마다 영 점이 다 다르다 보니까.
",1
"1060 마이크론 정도로 생각해 주시고 본인 그라인더에 맞게 세팅을 잡아주시면 훨씬 더 좋은 효과를 볼 수 있습니다.
",0
"그래서 드리퍼에 원두를 넣어주시고 넣어주신 다음에 위에 표면을 세틀링을 해주세요. 평평하게 낼 수 있게 해주시고.
",0
"일단 물 온도 같은 경우에는 저희가 지금 95도를 쓸 건데.
",1
"이게 환경마다 다를 수 있지만 이제 겨울이 다가왔고, 또 주변 환경도 굉장히 온도가 낮아지기 때문에 드리퍼도 그렇고 예열를 잘 해주시고.
",0
"물 온도도 95도 정도로 사용해 주셔야 이제 커피가 추출이 원활하게 진행이 됩니다.
",1
"그래서 타이멀 시작한 동시에 가운데에 물을 천천히 무어 주시면서 40g까지 천천히 보여줍니다.
",1
"드리포트 같은 경우에는 다시 레얼 모드로 가져다 주시고 45초까지 저희 기다려 줄 겁니다.
",1
"지금 저희 싱글 라인업 같은 경우에는 배존도가 다 완전 기늘하지는 않지만, 보통 다 미디엄 라이트로 로스팅이 되고 있어 가지고.
",0
"저희는 네추럴 커피 같은 경우에는 93도 정도로 추천을 드리고, 물 온도를 헌이나 워시드 계열 같은 경우에는 95도로 추천을 드립니다.
",0
"그래서 물 온도도 프로세싱에 따라 그렇게 다르게 가져가고 있고, 45초가 됐을 때.
",0
"다시 천천히 원형으로 150g까지 구워주시고, 그다음에 150g이 됐을 때 센조포 어 그리고 이 많은 분들이 센터포를 할 때 궁금해하시는 분들 하는 게 낙차의 높이를 어떻게 가져가냐 하는데.
",1
"제가 지금 불링하는 게 에 TOP아 워시드인데 워시드 같은 경우는 저는 좀 더 높은 위치에서 이제 낙차를 좀 가져가고.
",0
"내추럴이나 허니 같은 경우에는 좀 더 낮아져요. 그리고 물줄기도 조금 더 빨라지거든요.
",0
"근데 워시트 같은 경우에는 조금 물 줄기 굵기 자체도 굉장히 얇고 좀 높은 높이에서 이렇게 추출을 진행을 합니다.
",0
"그래서 물이 다 부어졌을 때는 한 번 드리퍼를 세 번 흔들어 주신 다음에 기다려 주시면 한 2분 10초 15초 정도가 타겟이고.
",0
"이 여러분들이 추출해 보시면서 아시겠지만 에 TOP 같은 원두가 조금 더 느리게 추출이 돼요. 다른 원두들보다.
",0
"그래서 에티 오펠 같은 경우에는 지금 한 2분 10초 15초지만.
",0
"다른 예를 들어서 저희 라이업에 있는 코스타리카나 과테말라 등등은 그것보다 한 10초 정도 더 빠를 거예요.
",0
"에 티 오펠보다 10초 정도 더 빠르게 나오고, 그래서 지금 2분 18초 정도의 추출이 완료됐고, 밸런스 좋은 커피가 추출이 되었습니다.
",0
"그래서 가장 중요한 거는 제가 지금 추출한 거. 가장 비슷하게 추출하기 위해서 분세도 세팅. 1060 마이크론.
",0
"그리고 물 같은 경우에는 저희가 추천드린 거는 아이.
",1
"씨스 8.0 청주 미원면 수도원 거를 사용하시고 아니면 평창수를 추천드리고요.
",1
"그리고 원두 같은 경우에는 저희 같은 경우에는 싱글로리징 같은 경우에는.
",0
"디게싱은 최소 3일인데, 권장은 4 에서 5일입니다.
",0
"디게싱 4일에서 5일 정도 됐을 때부터 추출을 진행하시는 거를 추천드립니다.
",0
"그러면 여러분들도 커피를 집에서 맛있게 이번 연말 추출 잘 하시길 바랍니다. 감사합니다.
",0
"안녕하세요, 커피몽타주의 로스터 이연석입니다.
",0
"이번 영상에서는 디카페인 커피의 브루잉 레시피를 소개하겠습니다.
",1
